row_index,confidence,Mfg_Part_Num,Part_Desc,BRAND_NAME,MANUFACTURER_NAME,Classpath,SHORT_DESC,INVOICE_DESC,invoice_chars,MOBILE_DESC,mobile_chars,review_reasons
995,0.281,10045.201,"10045.201 Oliver 13"" Benchtop Planer 2HP,115V 1Ph",,,,"10045.201 Planer HP Ph, 13 in Width",PLANER HP PH 13IN 2HP 115V,26,"Planer HP Ph, 10045.201, 13 in Width, 2 HP, 115 V",49,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 49 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
996,0.281,10014.201,"10014.201 Oliver 15"" Planer 3HP 1Ph 220V",,,,"10014.201 Planer HP Ph, 15 in Width",PLANER HP PH 15IN 3HP 220V,26,"Planer HP Ph, 10014.201, 15 in Width, 3 HP, 220 V",49,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 49 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
997,0.281,4430.201,"4430.201 Oliver 20"" Planer 5HP 1Ph 230V",,,,"4430.201 Planer HP Ph, 20 in Width",PLANER HP PH 20IN 5HP 230V,26,"Planer HP Ph, 4430.201, 20 in Width, 5 HP, 230 V",48,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 48 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
998,0.281,10055.201,"10055.201 Oliver 15"" Benchtop Planer 2.5HP 1Ph 230V",,,,"10055.201 Planer HP Ph, 15 in Width",PLANER HP PH 15IN 2.5HP 230V,28,"Planer HP Ph, 10055.201, 15 in Width, 2.5 HP, 230 V",51,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 51 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
763,0.281,35494,35494 Mason Line Brd Blk/Yellw - 500' Replacement,,,,"35494 Black Yellw Replacement, Black, 500 ft Length",BLK YELLW REPL BLK 500FT,24,"Black Yellw Replacement, 35494, Black, 500 ft Length",52,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 52 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
746,0.281,BC-12300,"BC-12300 BigCal 12""/300mm",,,,"BC-12300 BigCal Mm, 12 in Width, 300 mm Length",BIGCAL MM 12IN 300MM,20,"BigCal Mm, BC-12300, 12 in Width, 300 mm Length",47,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 47 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
747,0.281,BC-24600,"BC-24600 BigCal 24""/600mm",,,,"BC-24600 BigCal Mm, 24 in Width, 600 mm Length",BIGCAL MM 24IN 600MM,20,"BigCal Mm, BC-24600, 24 in Width, 600 mm Length",47,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 47 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
988,0.281,10047VS,10047VS Oliver 3HP 230V 1PH Shaper 1-1/4 Spindle,,,,10047VS PH Shaper Spindle,PH SHAPER SPINDLE 3HP 230V,26,"PH Shaper Spindle, 10047VS, 3 HP, 230 V",39,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 39 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
584,0.282,73020,73020 Nano Clip Light Bk,,,,"73020 Clip Light Black, Black",CLIP LIGHT BLK BLK,18,"Clip Light Black, 73020, Black",30,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 30 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
621,0.282,XOU24WDZGBR,XOU24WDZGBR Beverage Center Bk,,,,"XOU24WDZGBR Beverage Center Black, Black",BEVERAGE CENTER BLK BLK,23,"Beverage Center Black, XOU24WDZGBR, Black",41,"BRAND_NAME is empty | MANUFACTURER_NAME is empty | Classpath is empty | MOBILE_DESC is 41 chars, outside the 60-80 window | no taxonomy match, so the attribute contract and all five descriptions fall back to the generic template | brand unresolved: every brand column held a placeholder and no alias was found in the description"
